"N1_S_T60" "N2_S_T60" "N3_S_T60"
"201015_s_at" 296 87.1 345.8
"201304_at" 240.1 113.2 290.8
"202868_s_at" 164.9 139.8 263
"204677_at" 12.5 1.5 10.4
"205037_at" 44.6 31.3 40.5
"201909_at" 181.6 112.3 1750.3
"205402_x_at" 5.5 27.2 12
"204973_at" 1.8 32.6 23.7
"204139_x_at" 47.5 47 53.2
"202567_at" 284.9 216.8 358.8
"202433_at" 149.6 118.9 202.9
"202432_at" 219.4 142.2 241.1
"201390_s_at" 306.3 245.2 395.2
"202627_s_at" 33.5 25 18.3
"202354_s_at" 37.4 46.8 72.5
"201092_at" 590.2 295.3 542.9
"203095_at" 93 98.1 137.5
"204623_at" 27.3 7.2 18.5
"202062_s_at" 80.5 48.1 74.7
"200840_at" 611.3 518.9 829.2
"203800_s_at" 156.8 117.2 169.4
"202078_at" 237.7 94 272
"201093_x_at" 447.3 322.5 389.7
"204074_s_at" 84.8 61.3 125.2
"200692_s_at" 329.4 174.5 366.5
"202886_s_at" 38.6 60.6 43.5
"203823_at" 62.2 61.8 60.5
"204585_s_at" 15.4 2.8 23.5
"203463_s_at" 29.4 39.1 37.4
"202546_at" 352.8 254.2 441
